,train,val
0,37.083333333333336,36.666666666666664
1,36.25,36.666666666666664
2,41.666666666666664,28.333333333333332
3,38.75,36.666666666666664
4,39.166666666666664,38.333333333333336
5,43.75,45.0
6,44.583333333333336,36.666666666666664
7,48.75,45.0
8,48.75,41.666666666666664
9,52.916666666666664,41.666666666666664
10,53.75,43.333333333333336
11,51.666666666666664,43.333333333333336
12,60.416666666666664,45.0
13,55.0,43.333333333333336
14,60.833333333333336,46.666666666666664
15,63.75,50.0
16,68.75,51.666666666666664
17,62.916666666666664,48.333333333333336
18,69.16666666666667,48.333333333333336
19,71.66666666666667,45.0
20,69.58333333333333,48.333333333333336
21,70.83333333333333,50.0
22,67.91666666666667,51.666666666666664
23,74.58333333333333,51.666666666666664
24,67.08333333333333,51.666666666666664
25,72.08333333333333,50.0
26,75.41666666666667,51.666666666666664
27,75.41666666666667,48.333333333333336
28,80.41666666666667,51.666666666666664
29,77.5,51.666666666666664
30,75.41666666666667,53.333333333333336
31,82.5,51.666666666666664
32,82.08333333333333,56.666666666666664
33,83.33333333333333,55.0
34,80.0,51.666666666666664
35,83.33333333333333,58.333333333333336
36,88.75,58.333333333333336
37,83.33333333333333,51.666666666666664
38,80.41666666666667,51.666666666666664
39,83.75,51.666666666666664
40,84.16666666666667,51.666666666666664
41,88.33333333333333,50.0
42,92.08333333333333,50.0
43,89.16666666666667,55.0
44,90.0,56.666666666666664
45,85.41666666666667,56.666666666666664
46,91.66666666666667,55.0
47,88.33333333333333,50.0
48,90.83333333333333,60.0
49,92.08333333333333,60.0
50,90.41666666666667,55.0
51,94.16666666666667,53.333333333333336
52,90.41666666666667,60.0
53,91.66666666666667,58.333333333333336
54,95.41666666666667,55.0
55,96.25,53.333333333333336
56,93.75,58.333333333333336
57,91.66666666666667,56.666666666666664
58,95.0,58.333333333333336
59,93.75,56.666666666666664
60,94.58333333333333,60.0
61,95.41666666666667,61.666666666666664
62,95.83333333333333,53.333333333333336
63,95.83333333333333,55.0
64,95.0,51.666666666666664
65,97.08333333333333,53.333333333333336
66,95.83333333333333,53.333333333333336
67,94.58333333333333,58.333333333333336
68,96.25,58.333333333333336
69,97.91666666666667,56.666666666666664
70,97.5,60.0
71,98.33333333333333,61.666666666666664
72,96.25,56.666666666666664
73,97.5,51.666666666666664
74,96.25,55.0
75,95.83333333333333,51.666666666666664
76,97.91666666666667,56.666666666666664
77,96.25,60.0
78,99.58333333333333,55.0
79,98.75,61.666666666666664
80,96.66666666666667,55.0
81,98.75,56.666666666666664
82,98.33333333333333,56.666666666666664
83,98.75,60.0
84,98.75,60.0
85,97.91666666666667,60.0
86,99.16666666666667,60.0
87,98.33333333333333,58.333333333333336
88,98.75,60.0
89,99.58333333333333,61.666666666666664
90,99.16666666666667,58.333333333333336
91,98.33333333333333,55.0
92,98.75,60.0
93,97.91666666666667,58.333333333333336
94,99.16666666666667,56.666666666666664
95,99.58333333333333,58.333333333333336
96,98.75,55.0
97,99.16666666666667,63.333333333333336
98,99.58333333333333,60.0
99,99.16666666666667,60.0
100,99.16666666666667,58.333333333333336
101,100.0,56.666666666666664
102,100.0,63.333333333333336
103,99.58333333333333,63.333333333333336
104,99.58333333333333,60.0
105,99.58333333333333,58.333333333333336
106,100.0,63.333333333333336
107,100.0,65.0
108,99.58333333333333,58.333333333333336
109,99.16666666666667,55.0
110,100.0,58.333333333333336
111,100.0,58.333333333333336
112,100.0,60.0
113,100.0,61.666666666666664
114,100.0,61.666666666666664
115,100.0,60.0
116,100.0,60.0
117,98.75,58.333333333333336
118,99.58333333333333,60.0
119,99.58333333333333,58.333333333333336
120,100.0,63.333333333333336
121,100.0,63.333333333333336
122,99.16666666666667,58.333333333333336
123,99.58333333333333,65.0
124,100.0,58.333333333333336
125,100.0,60.0
126,99.58333333333333,61.666666666666664
127,99.58333333333333,61.666666666666664
128,100.0,61.666666666666664
129,99.58333333333333,61.666666666666664
130,99.58333333333333,60.0
131,100.0,61.666666666666664
132,99.58333333333333,63.333333333333336
133,100.0,58.333333333333336
134,100.0,58.333333333333336
135,99.58333333333333,63.333333333333336
136,100.0,60.0
137,100.0,63.333333333333336
138,99.58333333333333,63.333333333333336
139,100.0,65.0
140,99.58333333333333,63.333333333333336
141,100.0,63.333333333333336
142,100.0,63.333333333333336
143,100.0,61.666666666666664
144,100.0,61.666666666666664
145,98.75,60.0
146,100.0,63.333333333333336
147,100.0,61.666666666666664
148,100.0,63.333333333333336
149,100.0,61.666666666666664
150,99.58333333333333,61.666666666666664
151,100.0,61.666666666666664
152,100.0,61.666666666666664
153,100.0,61.666666666666664
154,100.0,61.666666666666664
155,100.0,60.0
156,100.0,60.0
157,99.58333333333333,63.333333333333336
158,100.0,61.666666666666664
159,100.0,63.333333333333336
160,100.0,63.333333333333336
161,100.0,61.666666666666664
162,100.0,63.333333333333336
163,100.0,68.33333333333333
164,100.0,65.0
165,100.0,63.333333333333336
166,100.0,65.0
167,100.0,61.666666666666664
168,100.0,61.666666666666664
169,100.0,58.333333333333336
170,100.0,61.666666666666664
171,100.0,60.0
172,100.0,61.666666666666664
173,100.0,61.666666666666664
174,100.0,60.0
175,100.0,63.333333333333336
176,100.0,60.0
177,100.0,60.0
178,100.0,60.0
179,100.0,63.333333333333336
180,100.0,60.0
181,100.0,60.0
182,100.0,60.0
183,100.0,61.666666666666664
184,100.0,63.333333333333336
185,100.0,63.333333333333336
186,100.0,60.0
187,100.0,61.666666666666664
188,100.0,60.0
189,100.0,60.0
190,100.0,61.666666666666664
191,100.0,65.0
192,100.0,63.333333333333336
193,100.0,61.666666666666664
194,100.0,63.333333333333336
195,100.0,63.333333333333336
196,100.0,63.333333333333336
197,100.0,63.333333333333336
198,100.0,61.666666666666664
199,100.0,60.0
